Unnamed: 0,Position,Rating,Pace,Acceleration,Sprint Speed,Shooting,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Passing,Vision,Crossing,FK. Accuracy,Short Passing,Long Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball Control,Dribbling.1,Composure,Defending,Interceptions,Heading Accuracy,Marking,Standing Tackle,Sliding Tackle,Physicality,Jumping,Stamina,Strength,Aggression,Name,Club,Nation,League,Skills,Weak Foot,Intl. Rep,Foot,Height,Weight,Revision,Def. WR,Att. WR,Origin,Version,PS4 Games Played,Days in game,Acrobat,Aerial Threat,Clinical Finisher,Complete Defender,Complete Forward,Crosser,Distance Shooter,Dribbler,FK Specialist,Midfielder,Play Maker,Poacher,Speedster,Strength Spec,Tackler,Tactician,Avoids Using Weaker Foot,Backs Into Player,Chip Shot,Corner Specialist,Crosser - Early Crosser,Dives Into Tackles,Dribbler - Speed Dribbler,Flair,GK One On One,Giant Throw In,Injury Prone,Leadership,Long Throw,Long Thrower,One Club Player,Passing - Long Passer,Playmaker,Power Header,Puncher,Pushes Up For Corners,Selfish,Shooting - Chip Shot,Shooting - Finesse Shot,Shooting - Long Shot Taker,Sweeper Keeper,Takes Finesse Style Free Kicks,Takes Powerful Driven Free Kicks,Target Forward,Technical Dribbler,Tries To Beat Defensive Line,Ultimate Professional,games_day
193,RM,85,88,91,85,80,82,75,82,89,81,80,79,79,78,81,79,75,85,93,94,90,83,91,93,88,37,44,57,29,37,29,59,52,75,58,41,Jay-Jay Okocha,Icons,Nigeria,Icons,5,4,3,Right,173,69,Icon,Low,Med,N\A,icon gold,1119958,357,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3137.137255
209,LM,84,84,81,87,80,84,79,83,80,80,76,78,78,84,76,78,72,73,83,78,67,80,83,83,80,42,42,78,26,45,45,75,82,86,75,59,Ivan Perišić,Inter,Croatia,Calcio A,4,5,3,Right,186,79,Normal,Med,High,N\A, gold,6766952,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18955.047619999998
225,RM,84,81,85,78,72,77,76,72,64,66,64,81,85,79,63,84,78,79,91,88,86,84,89,91,84,45,49,51,46,44,35,61,53,80,54,58,Bernardo Mota Carvalho e Silva,Manchester City,Portugal,Premier League,4,3,2,Left,173,64,Normal,Med,Med,N\A, gold,3962732,357,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11100.08964
228,LM,84,83,84,81,78,80,77,77,81,80,71,83,80,83,80,85,80,86,87,91,97,80,86,87,67,35,41,60,25,31,41,57,69,84,39,60,Mathieu Valbuena,Fenerbahçe SK,France,Süper Lig,4,3,3,Right,167,63,IF,Med,Med,TOTW1,if gold,608161,357,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1703.532213
232,RM,83,83,85,82,76,75,70,83,83,80,74,81,80,88,78,79,75,92,89,91,84,78,87,89,79,18,24,41,10,17,13,60,63,69,54,62,Ricardo Andrade Quaresma Bernardo,Beşiktaş JK,Portugal,Süper Lig,5,4,3,Right,175,67,Normal,Med,High,N\A, gold,634332,357,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1776.840336
252,LM,83,81,84,79,74,79,73,72,74,81,71,81,82,82,72,81,78,88,85,87,81,84,84,85,80,39,40,54,30,42,43,55,68,69,46,57,Nicolás Gaitán,Atlético Madrid,Argentina,LaLiga Santander,4,2,3,Left,173,68,Normal,Med,Med,N\A, gold,1462050,357,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4095.378151
269,LM,83,80,81,79,77,80,79,77,73,75,74,79,78,80,62,81,82,76,86,75,63,80,85,86,70,28,25,65,25,21,23,76,70,81,81,61,Víctor Machín Pérez,UD Las Palmas,Spain,LaLiga Santander,3,4,2,Right,184,80,Normal,High,High,N\A, gold,1140090,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3193.5294120000003
273,RM,83,82,85,80,74,79,74,76,72,71,72,78,79,81,75,78,74,79,88,92,85,75,88,88,82,28,38,45,25,23,19,55,62,75,51,40,Riyad Mahrez,Leicester City,Algeria,Premier League,5,4,3,Left,179,62,Normal,Med,Med,N\A, gold,4437332,357,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,12429.5014
283,LM,83,85,86,84,77,76,78,82,76,68,68,80,82,82,81,82,71,81,88,85,84,76,86,88,79,62,66,54,63,59,63,70,72,79,69,63,Thomas Lemar,AS Monaco Football Club SA,France,Ligue 1 Conforama,3,2,3,Left,170,58,Normal,Med,High,N\A, gold,4251125,357,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11907.91317
286,RM,83,91,93,89,76,78,77,83,65,75,74,75,84,77,65,74,68,78,92,90,90,82,85,92,73,32,36,43,29,30,33,56,59,74,47,54,Ousmane Dembélé,FC Barcelona,France,LaLiga Santander,5,5,3,Left,178,67,Normal,Low,High,N\A, gold,29479579,357,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,82575.85154
299,LM,82,78,78,78,76,79,76,74,80,72,77,81,81,79,79,84,76,77,83,85,90,77,85,83,82,38,37,42,35,37,44,59,50,75,63,33,Samir Nasri,Antalyaspor,France,Süper Lig,4,5,3,Right,175,75,Normal,Med,High,N\A, gold,231865,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,649.4817927
316,LM,82,77,76,78,74,80,73,78,71,79,77,79,81,83,74,79,74,79,84,72,57,75,85,84,77,53,53,71,49,60,30,80,68,79,84,74,Marko Arnautović,West Ham United,Austria,Premier League,4,4,3,Right,192,83,Normal,Med,Med,N\A, gold,1218487,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3413.1288520000003
317,LM,82,80,86,75,73,76,74,69,74,73,75,76,78,77,78,77,70,83,91,93,87,83,85,91,86,33,38,46,24,36,25,56,72,76,49,46,Yacine Brahimi,FC Porto,Algeria,Liga NOS,4,3,3,Right,175,66,Normal,Med,Med,N\A, gold,236452,357,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,662.3305322000001
323,RM,82,83,85,82,76,77,76,76,78,68,74,78,79,76,72,81,73,80,87,92,84,77,88,87,84,48,51,53,45,49,42,66,68,78,62,58,Marlos Romero Bonfim,Shakhtar Donetsk,Brazil,Ukrayina Liha,5,3,2,Left,174,69,Normal,Med,Med,N\A, gold,219518,357,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,614.8963585
324,LM,82,92,93,91,79,74,76,83,83,82,72,75,79,73,73,77,75,52,87,89,83,79,85,87,74,47,49,56,38,53,40,63,62,70,62,56,Taison Barcellos Freda,Shakhtar Donetsk,Brazil,Ukrayina Liha,4,3,2,Right,172,64,Normal,Med,Med,N\A, gold,834367,357,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2337.162465
329,LM,82,92,96,88,77,77,71,86,84,73,77,77,78,76,78,78,71,79,85,91,90,76,83,85,73,32,32,51,28,31,30,64,61,74,63,55,Douglas Costa de Souza,Juventus,Brazil,Calcio A,5,3,3,Left,170,65,Normal,Low,Med,N\A, gold,11264071,357,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31552.019610000003
331,RM,82,91,90,92,74,78,67,84,80,68,65,75,72,78,69,77,69,76,90,91,83,76,83,90,76,61,62,58,60,60,68,65,75,75,57,70,Juan Cuadrado,Juventus,Colombia,Calcio A,5,3,3,Right,179,71,Normal,Med,High,N\A, gold,11129360,357,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,31174.67787
332,RM,82,83,87,79,77,78,72,85,81,76,65,78,79,74,78,80,76,82,85,88,92,80,83,85,79,46,65,37,40,41,48,65,63,74,62,64,Xherdan Shaqiri,Stoke City,Switzerland,Premier League,4,4,3,Left,169,72,Normal,Med,High,N\A, gold,1280984,357,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3588.1904759999998
340,LM,82,86,87,86,82,83,83,83,86,73,71,75,78,75,70,78,64,81,85,79,77,81,82,85,78,25,29,65,17,19,23,66,65,80,62,60,Heung Min Son,Tottenham Hotspur,Korea Republic,Premier League,4,5,3,Right,183,77,Normal,High,High,N\A, gold,23363485,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,65443.93557
347,RM,82,92,91,93,77,78,75,85,78,72,57,74,77,76,58,80,59,70,87,86,78,81,82,87,77,33,38,48,28,30,33,68,75,73,68,59,Karim Bellarabi,Bayer 04 Leverkusen,Germany,Bundesliga,4,3,3,Right,183,80,Normal,High,High,N\A, gold,2781070,357,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7790.112045
362,RM,82,89,86,91,81,79,82,82,83,68,72,76,81,75,76,76,69,75,83,87,78,81,82,83,78,29,27,60,25,24,27,67,82,81,61,60,Quincy Promes,Spartak Moscow,Holland,Russian Football Premier League,4,4,2,Right,174,72,Normal,Low,High,N\A, gold,684557,357,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1917.526611
364,LM,82,91,92,90,79,79,81,84,70,74,74,70,70,73,54,75,58,79,88,85,82,81,84,88,78,41,42,70,35,39,38,74,80,79,76,59,Anthony Martial,Manchester United,France,Premier League,4,4,3,Right,181,76,Normal,Low,Med,N\A, gold,53366993,357,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,149487.3754
367,RM,82,84,84,84,76,80,73,80,82,70,72,77,78,77,80,80,70,79,86,86,79,80,87,86,83,34,34,48,28,36,32,65,49,83,63,52,Federico Bernardeschi,Juventus,Italy,Calcio A,4,3,2,Left,183,75,Normal,Med,High,N\A, gold,1839981,357,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5154.008403
392,LM,81,83,82,84,77,80,77,77,76,76,78,77,67,81,76,80,77,77,84,82,73,76,85,84,74,46,35,64,40,52,51,65,73,76,62,58,Kevin Mirallas,Everton,Belgium,Premier League,4,4,2,Right,182,72,Normal,Med,High,N\A, gold,2480486,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,6948.140056
418,RM,81,83,87,79,72,80,76,66,66,75,68,74,77,73,67,76,68,85,91,90,87,82,84,91,85,40,45,67,29,40,31,51,72,74,39,45,Jesús Corona,FC Porto,Mexico,Liga NOS,4,5,3,Right,173,62,Normal,High,High,N\A, gold,79658,357,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,223.1316527
429,RM,81,90,89,90,71,74,74,75,62,59,66,71,74,79,51,72,65,54,88,89,79,73,86,88,76,33,23,43,36,32,34,72,50,78,73,68,Wilfried Zaha,Crystal Palace,Côte d'Ivoire,Premier League,4,3,2,Right,180,66,Normal,Med,High,N\A, gold,3505598,357,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,9819.602241
444,LM,81,77,83,72,75,76,72,81,83,76,44,81,79,85,82,83,74,84,83,88,86,81,83,83,75,74,85,61,74,70,77,63,64,77,54,69,Raphaël Guerreiro,Borussia Dortmund,Portugal,Bundesliga,4,3,3,Left,170,71,Normal,Med,Med,N\A, gold,338314,357,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,947.6582632999999
447,LM,81,93,94,92,71,75,70,81,67,60,71,73,69,76,69,74,70,75,86,93,90,79,83,86,73,34,38,52,21,39,28,65,78,79,57,64,Armindo Tué Na Bangna,RB Leipzig,Portugal,Bundesliga,4,4,2,Right,173,70,Normal,High,High,N\A, gold,2483067,357,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6955.369748
456,RM,81,94,95,94,70,77,66,72,74,74,66,73,78,79,60,75,56,84,85,94,94,82,83,85,84,44,43,51,43,46,36,60,65,87,48,57,Gelson Dany Batalha Martins,Sporting CP,Portugal,Liga NOS,5,3,3,Right,173,65,Normal,Med,High,N\A, gold,1941447,357,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5438.226890999999
476,LM,80,68,69,67,78,83,83,76,67,78,86,73,75,69,62,78,68,72,87,77,78,82,85,87,79,33,32,76,22,33,27,62,76,67,68,35,Salomon Kalou,Hertha BSC,Côte d'Ivoire,Bundesliga,4,3,3,Right,184,77,Normal,Low,Med,N\A, gold,50305,357,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,140.91036409999998
479,RM,80,91,92,91,75,80,77,76,69,72,74,72,72,74,74,74,65,76,81,83,79,77,78,81,78,38,35,58,33,39,36,66,66,73,62,65,Theo Walcott,Arsenal,England,Premier League,3,3,3,Right,176,68,Normal,Med,Med,N\A, gold,3915375,357,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,10967.43697
486,RM,80,76,78,74,77,77,73,80,82,77,75,79,80,76,79,82,72,83,85,77,70,77,82,85,75,45,43,71,37,47,39,67,64,77,59,74,Erik Lamela,Tottenham Hotspur,Argentina,Premier League,4,2,2,Left,181,80,Normal,High,High,N\A, gold,334316,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,936.4593838
493,RM,80,78,77,78,80,79,74,87,85,75,83,76,74,85,71,77,70,74,80,74,76,80,82,80,73,56,59,55,54,58,50,71,35,86,70,66,Antonio Candreva,Inter,Italy,Calcio A,3,4,3,Right,180,72,Normal,Med,Med,N\A, gold,333274,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,933.5406162
497,RM,80,67,64,69,76,74,74,82,79,68,71,83,82,90,84,80,82,87,84,68,73,71,85,84,71,40,43,36,34,46,36,62,45,68,63,55,Pedro León Sánchez Gil,SD Eibar,Spain,LaLiga Santander,3,3,2,Right,183,73,Normal,Low,High,N\A, gold,58175,357,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,162.9551821
500,RM,80,75,76,75,74,79,75,75,75,65,71,75,76,77,57,78,71,74,80,86,81,75,82,80,74,60,57,76,54,62,59,77,90,86,71,78,André Ayew,West Ham United,Ghana,Premier League,3,3,3,Left,176,72,Normal,Med,High,N\A, gold,107918,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302.2913165
507,RM,80,89,87,90,76,71,75,80,75,85,67,76,77,82,68,79,63,71,83,75,81,80,81,83,76,32,23,63,22,39,32,71,73,76,76,53,Jeremain Lens,Beşiktaş JK,Holland,Süper Lig,4,4,2,Right,178,73,Normal,Med,High,N\A, gold,139978,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,392.0952381
511,RM,80,88,92,85,72,76,66,80,78,75,56,77,76,80,74,76,74,84,86,94,93,80,78,86,79,39,41,44,32,43,40,56,72,74,47,53,Ibrahima Traoré,Borussia Mönchengladbach,Guinea,Bundesliga,4,2,2,Left,171,61,Normal,High,High,N\A, gold,299153,357,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,837.9635853999999
529,RM,80,87,88,86,74,81,76,74,74,71,60,74,73,78,64,74,70,75,78,86,84,77,80,78,78,44,52,67,40,38,33,70,87,83,63,67,Eduardo Salvio,SL Benfica,Argentina,Liga NOS,4,4,2,Right,173,77,Normal,Low,High,N\A, gold,111925,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,313.5154062
535,LM,80,83,84,83,82,80,80,86,83,82,83,74,76,76,68,77,59,80,81,77,76,80,79,81,75,38,44,63,23,40,42,70,72,80,66,66,André Schürrle,Borussia Dortmund,Germany,Bundesliga,3,4,3,Right,184,73,Normal,High,High,N\A, gold,740086,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2073.070028
536,LM,80,77,77,77,77,74,76,82,78,75,62,80,84,77,56,83,78,79,81,83,72,75,82,81,75,63,69,65,48,71,67,73,65,79,69,77,Roberto Soriano,Villarreal CF,Italy,LaLiga Santander,3,4,2,Right,182,76,Normal,Med,Med,N\A, gold,84746,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,237.3837535
543,RM,80,88,87,88,70,74,68,75,74,58,69,74,72,75,53,78,73,67,85,84,88,74,82,85,73,52,51,39,52,57,54,70,66,76,70,66,Alex Oxlade-Chamberlain,Liverpool,England,Premier League,4,4,2,Right,175,70,Normal,Med,High,N\A, gold,1781932,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4991.406161999999
544,RM,80,76,74,77,73,75,73,77,75,53,61,80,81,81,73,82,74,80,86,81,81,74,82,86,70,30,25,61,26,27,28,53,45,62,58,32,Pablo Sarabia García,Sevilla FC,Spain,LaLiga Santander,4,4,2,Left,174,70,Normal,Med,High,N\A, gold,148685,357,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,416.4845938
